#step	time	u[m]	load[N]	reaction[N]	Wint[J]	Wext[J]	Wkin[J]
196	1.960000e-02	-9.300000e-05	-1.699027e+05	1.699028e+05	8.015670e+00	8.015714e+00	1.983725e-05
197	1.970000e-02	-9.350000e-05	-1.707441e+05	1.707438e+05	8.100738e+00	8.100782e+00	1.987081e-05
198	1.980000e-02	-9.400000e-05	-1.715843e+05	1.715845e+05	8.186226e+00	8.186271e+00	1.986067e-05
199	1.990000e-02	-9.450000e-05	-1.724242e+05	1.724243e+05	8.272134e+00	8.272179e+00	1.985795e-05
200	2.000000e-02	-9.500000e-05	-1.732627e+05	1.732624e+05	8.358462e+00	8.358508e+00	1.988051e-05
201	2.010000e-02	-9.550000e-05	-1.741002e+05	1.741006e+05	8.445209e+00	8.445256e+00	1.987129e-05
202	2.020000e-02	-9.600000e-05	-1.749370e+05	1.749368e+05	8.532375e+00	8.532422e+00	1.986658e-05
203	2.030000e-02	-9.650000e-05	-1.757729e+05	1.757729e+05	8.619959e+00	8.620006e+00	1.988617e-05
204	2.040000e-02	-9.700000e-05	-1.766075e+05	1.766078e+05	8.707961e+00	8.708009e+00	1.987200e-05
205	2.050000e-02	-9.750000e-05	-1.774417e+05	1.774413e+05	8.796380e+00	8.796428e+00	1.987944e-05
206	2.060000e-02	-9.800000e-05	-1.782744e+05	1.782747e+05	8.885216e+00	8.885265e+00	1.989734e-05
207	2.070000e-02	-9.850000e-05	-1.791064e+05	1.791064e+05	8.974468e+00	8.974518e+00	1.986910e-05
208	2.080000e-02	-9.900000e-05	-1.799377e+05	1.799374e+05	9.064136e+00	9.064186e+00	1.989622e-05
209	2.090000e-02	-9.950000e-05	-1.807673e+05	1.807676e+05	9.154219e+00	9.154270e+00	1.989886e-05
210	2.100000e-02	-1.000000e-04	-1.815967e+05	1.815965e+05	9.244717e+00	9.244769e+00	1.988360e-05
211	2.110000e-02	-1.005000e-04	-1.824248e+05	1.824247e+05	9.335629e+00	9.335683e+00	1.991629e-05
212	2.120000e-02	-1.010000e-04	-1.832519e+05	1.832520e+05	9.426956e+00	9.427010e+00	1.990003e-05
213	2.130000e-02	-1.015000e-04	-1.840784e+05	1.840781e+05	9.518696e+00	9.518751e+00	1.991123e-05
214	2.140000e-02	-1.020000e-04	-1.849033e+05	1.849034e+05	9.610849e+00	9.610904e+00	1.992512e-05
215	2.150000e-02	-1.025000e-04	-1.857278e+05	1.857278e+05	9.703414e+00	9.703470e+00	1.990805e-05
216	2.160000e-02	-1.030000e-04	-1.865512e+05	1.865510e+05	9.796391e+00	9.796449e+00	1.993331e-05
217	2.170000e-02	-1.035000e-04	-1.873731e+05	1.873732e+05	9.889780e+00	9.889838e+00	1.992950e-05
218	2.180000e-02	-1.040000e-04	-1.881947e+05	1.881945e+05	9.983580e+00	9.983639e+00	1.993286e-05
219	2.190000e-02	-1.045000e-04	-1.890149e+05	1.890149e+05	1.007779e+01	1.007785e+01	1.995505e-05
220	2.200000e-02	-1.050000e-04	-1.898342e+05	1.898343e+05	1.017241e+01	1.017247e+01	1.994457e-05
221	2.210000e-02	-1.055000e-04	-1.906529e+05	1.906527e+05	1.026744e+01	1.026750e+01	1.996252e-05
222	2.220000e-02	-1.060000e-04	-1.914702e+05	1.914703e+05	1.036288e+01	1.036294e+01	1.996292e-05
223	2.230000e-02	-1.065000e-04	-1.922870e+05	1.922868e+05	1.045873e+01	1.045879e+01	1.996420e-05
224	2.240000e-02	-1.070000e-04	-1.931014e+05	1.931014e+05	1.055498e+01	1.055505e+01	1.998960e-05
225	2.250000e-02	-1.075000e-04	-1.939182e+05	1.939182e+05	1.065165e+01	1.065171e+01	1.995314e-05
226	2.260000e-02	-1.080000e-04	-1.947298e+05	1.947296e+05	1.074872e+01	1.074878e+01	2.003389e-05
227	2.270000e-02	-1.085000e-04	-1.955448e+05	1.955450e+05	1.084619e+01	1.084626e+01	1.994345e-05
