#step	time	iterations	error_displacements	error_residuals	error_energy	converged	elapsed_time[s]
200	8.000000e-03	1.000000e+00	0.000000e+00	6.988954e-06	8.042060e-05	1.000000e+00	1.250727e+02
201	8.040000e-03	1.000000e+00	0.000000e+00	7.782583e-06	8.610953e-05	1.000000e+00	1.257395e+02
202	8.080000e-03	1.000000e+00	0.000000e+00	8.239873e-06	9.145618e-05	1.000000e+00	1.264139e+02
203	8.120000e-03	1.000000e+00	0.000000e+00	8.635545e-06	9.458339e-05	1.000000e+00	1.270902e+02
204	8.160000e-03	1.000000e+00	0.000000e+00	8.740495e-06	9.636216e-05	1.000000e+00	1.277756e+02
205	8.200000e-03	1.000000e+00	0.000000e+00	9.087992e-06	9.858339e-05	1.000000e+00	1.284682e+02
206	8.240000e-03	3.000000e+00	6.339849e-05	6.893441e-07	6.459490e-06	1.000000e+00	1.296493e+02
207	8.280000e-03	1.000000e+00	0.000000e+00	6.665199e-06	7.567151e-05	1.000000e+00	1.303410e+02
208	8.320000e-03	3.000000e+00	6.950875e-05	7.752536e-07	7.187930e-06	1.000000e+00	1.315318e+02
209	8.360000e-03	1.000000e+00	0.000000e+00	6.143212e-06	7.276361e-05	1.000000e+00	1.322314e+02
210	8.400000e-03	3.000000e+00	7.348546e-05	8.115272e-07	7.603552e-06	1.000000e+00	1.334424e+02
211	8.440000e-03	1.000000e+00	0.000000e+00	6.682085e-06	7.713582e-05	1.000000e+00	1.341562e+02
212	8.480000e-03	3.000000e+00	7.811638e-05	8.640588e-07	8.152493e-06	1.000000e+00	1.353886e+02
213	8.520000e-03	1.000000e+00	0.000000e+00	7.283505e-06	8.294872e-05	1.000000e+00	1.360926e+02
214	8.560000e-03	3.000000e+00	8.090488e-05	9.220881e-07	8.658951e-06	1.000000e+00	1.373361e+02
215	8.600000e-03	1.000000e+00	0.000000e+00	8.142607e-06	8.620323e-05	1.000000e+00	1.380555e+02
216	8.640000e-03	3.000000e+00	8.474605e-05	1.048731e-06	9.458738e-06	1.000000e+00	1.393082e+02
217	8.680000e-03	1.000000e+00	0.000000e+00	9.369842e-06	9.503898e-05	1.000000e+00	1.400311e+02
218	8.720000e-03	4.000000e+00	3.591505e-05	5.338502e-07	4.302755e-06	1.000000e+00	1.415847e+02
219	8.760000e-03	1.000000e+00	0.000000e+00	9.100614e-06	9.713858e-05	1.000000e+00	1.423272e+02
220	8.800000e-03	4.000000e+00	3.618403e-05	5.528143e-07	4.404601e-06	1.000000e+00	1.438600e+02
221	8.840000e-03	3.000000e+00	5.258466e-05	8.494862e-07	6.764765e-06	1.000000e+00	1.451520e+02
222	8.880000e-03	3.000000e+00	8.411017e-05	1.321284e-06	1.058384e-05	1.000000e+00	1.464382e+02
223	8.920000e-03	3.000000e+00	7.791375e-05	1.241765e-06	9.881131e-06	1.000000e+00	1.477496e+02
224	8.960000e-03	3.000000e+00	7.175877e-05	1.150402e-06	9.131794e-06	1.000000e+00	1.490582e+02
225	9.000000e-03	3.000000e+00	9.261755e-05	1.536261e-06	1.200810e-05	1.000000e+00	1.503534e+02
226	9.040000e-03	3.000000e+00	6.906429e-05	1.150076e-06	9.003164e-06	1.000000e+00	1.516344e+02
227	9.080000e-03	3.000000e+00	9.259395e-05	1.612779e-06	1.230462e-05	1.000000e+00	1.529039e+02
228	9.120000e-03	3.000000e+00	7.412669e-05	1.310558e-06	1.001298e-05	1.000000e+00	1.541961e+02
229	9.160000e-03	3.000000e+00	9.147438e-05	1.598015e-06	1.222413e-05	1.000000e+00	1.554852e+02
230	9.200000e-03	3.000000e+00	7.716063e-05	1.354441e-06	1.036822e-05	1.000000e+00	1.567760e+02
231	9.240000e-03	3.000000e+00	8.908063e-05	1.572490e-06	1.199362e-05	1.000000e+00	1.580469e+02
232	9.280000e-03	3.000000e+00	8.149111e-05	1.546954e-06	1.142684e-05	1.000000e+00	1.593225e+02
233	9.320000e-03	3.000000e+00	8.758610e-05	1.723386e-06	1.256750e-05	1.000000e+00	1.605958e+02
234	9.360000e-03	3.000000e+00	8.412833e-05	1.712941e-06	1.241496e-05	1.000000e+00	1.618676e+02
235	9.400000e-03	3.000000e+00	8.756508e-05	1.770951e-06	1.287895e-05	1.000000e+00	1.631420e+02
236	9.440000e-03	3.000000e+00	8.571559e-05	1.738546e-06	1.267104e-05	1.000000e+00	1.644025e+02
237	9.480000e-03	3.000000e+00	8.654240e-05	1.768259e-06	1.286793e-05	1.000000e+00	1.656746e+02
