#step	time	u[m]	load[N]	reaction[N]	Wint[J]	Wext[J]	Wkin[J]
170	6.800000e-03	-2.900000e-05	-5.493271e+04	5.494444e+04	7.966183e-01	7.966410e-01	1.967430e-05
171	6.840000e-03	-2.920000e-05	-5.531977e+04	5.531711e+04	8.076440e-01	8.076662e-01	1.922557e-05
172	6.880000e-03	-2.940000e-05	-5.570242e+04	5.569173e+04	8.187455e-01	8.187685e-01	1.991342e-05
173	6.920000e-03	-2.960000e-05	-5.607182e+04	5.607901e+04	8.299228e-01	8.299459e-01	2.004138e-05
174	6.960000e-03	-2.980000e-05	-5.645149e+04	5.645901e+04	8.411759e-01	8.411982e-01	1.933627e-05
175	7.000000e-03	-3.000000e-05	-5.683855e+04	5.682827e+04	8.525047e-01	8.525272e-01	1.949885e-05
176	7.040000e-03	-3.020000e-05	-5.721389e+04	5.721091e+04	8.639093e-01	8.639325e-01	2.010519e-05
177	7.080000e-03	-3.040000e-05	-5.758623e+04	5.759739e+04	8.753897e-01	8.754125e-01	1.972196e-05
178	7.120000e-03	-3.060000e-05	-5.797075e+04	5.796917e+04	8.869459e-01	8.869682e-01	1.926963e-05
179	7.160000e-03	-3.080000e-05	-5.835446e+04	5.834417e+04	8.985779e-01	8.986007e-01	1.982385e-05
180	7.200000e-03	-3.100000e-05	-5.872542e+04	5.873110e+04	9.102856e-01	9.103087e-01	2.006666e-05
181	7.240000e-03	-3.120000e-05	-5.910273e+04	5.911062e+04	9.220691e-01	9.220915e-01	1.939460e-05
182	7.280000e-03	-3.140000e-05	-5.949053e+04	5.948165e+04	9.339284e-01	9.339508e-01	1.944508e-05
183	7.320000e-03	-3.160000e-05	-5.986679e+04	5.986268e+04	9.458634e-01	9.458865e-01	2.009228e-05
184	7.360000e-03	-3.180000e-05	-6.023821e+04	6.024869e+04	9.578743e-01	9.578970e-01	1.975514e-05
185	7.400000e-03	-3.200000e-05	-6.062291e+04	6.062258e+04	9.699609e-01	9.699832e-01	1.927909e-05
